Id Externo;LOGIN;VENDEDOR;ZONA; CUSTOMER;METODO DE PAGO;ARTICULO;CANTIDAD;Clase;Ubicación;Subsidiaria;Precio Cliente;Direccion;a quien cae la venta;nota ;id direccion de envio 
PROV001;40853;40853;1123;76267;1;76955;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;99692;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;92545;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;59531;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;47569;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;47569;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;59542;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;59542;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;161433;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;64352;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;161436;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;91084;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;46749;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;99680;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;46916;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;51177;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;46694;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;106311;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;106311;3;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;50708;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;117589;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;182738;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;127895;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;50968;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;50968;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;157783;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;51277;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;178222;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;182249;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;41530;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;166552;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;152985;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;182331;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;143888;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;135544;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;61890;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;61890;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;130320;1;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;803;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;804;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;154420;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;153839;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;131222;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;131220;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1799;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1789;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1424;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1425;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1426;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1423;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;124274;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1422;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1419;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1420;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;34500;2;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1505;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1506;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1507;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1504;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1508;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1551;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1552;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1509;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1477;12;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1553;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;20229;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1478;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1453;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1458;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1457;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1468;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1465;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1534;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1535;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1536;6;794;11;6;115;127849;40853;;127849
PROV001;40853;40853;1123;76267;1;1479;6;794;11;6;115;127849;40853;;127849
